year,scenario,hour,Eólica,Solar
1,1,1,0.376598,0
1,1,2,0.480477,0
1,1,3,0.688522,0
1,1,4,0.75911,0
1,1,5,0.659905,0
1,1,6,0.563466,0.00404128
1,1,7,0.62566,0.00723011
1,1,8,0.543434,0.198248
1,1,9,0.480477,0.426844
1,1,10,0.442798,0.525797
1,1,11,0.388808,0.594182
1,1,12,0.29027,0.613748
1,1,13,0.191733,0.633251
1,1,14,0.157107,0.653729
1,1,15,0.149952,0.547671
1,1,16,0.213577,0.539996
1,1,17,0.430302,0.458515
1,1,18,0.311733,0.348295
1,1,19,0.252782,0
1,1,20,0.231033,0
1,1,21,0.314213,0
1,1,22,0.336343,0
1,1,23,0.508045,0
1,1,24,0.440032,0
1,1,25,0.395676,0
1,1,26,0.354944,0
1,1,27,0.417806,0
1,1,28,0.481813,0
1,1,29,0.393005,0
1,1,30,0.340254,0.0011134
1,1,31,0.276725,0.00214571
1,1,32,0.236661,0.0844803
1,1,33,0.323275,0.158916
1,1,34,0.474849,0.14089
1,1,35,0.570048,0.230965
1,1,36,0.462353,0.342303
1,1,37,0.3807,0.307372
1,1,38,0.346932,0.384232
1,1,39,0.325851,0.381146
1,1,40,0.458156,0.492693
1,1,41,0.27911,0.385506
1,1,42,0.163593,0.21447
1,1,43,0.148998,0
1,1,44,0.139459,0
1,1,45,0.265755,0
1,1,46,0.323275,0
1,1,47,0.41504,0
1,1,48,0.427536,0
